X,Y,OBJECTID,site_id,site_name,address,owner_developer_name,construction_type,bedrooms,bathrooms,square_footage,distance_to_transit,distance_to_downtown,safety,noise,cleanliness,vibe,monthly_rent,utilities,maintenance_burden,house_condition,appliances,repairs_needed,stairs,wheelchair_access,elderly_friendly_layout,school_quality,school_zone,bus_access,parking,laundry,ac,yard,storage,internet_quality,unit_type,backyard,balcony,nearby_park,pet_friendliness,lease_security
-83.0753806543472,42.375513621038,9,HRD10137,Marwood + Marston: Preservation,53 Marston St,Develop Detroit Inc,Occupied Rehabilitation,2,1.5,1020,1.4,3.4,9,3,10,8,1200,220,medium,7,modern,none,none,yes,yes,8,Zone C,limited,1,on-site,central,none,hall closet,fair,apartment,none,no,no,true,medium
-82.9421648028198,42.4098641246231,19,HRD12311,The Residences at St Matthew,5970 Audubon Rd,"Catholic Charities for SE Michigan, Lighthouse MI, Ethos Development",New Construction,4,2.5,1350,1.3,7.6,7,6,7,7,1910,290,low,9,modern,none,none,no,no,8,Zone F,limited,1,in-unit,central,none,none,good,apartment,none,yes,yes,true,high
-83.0819699098448,42.3622655013653,23,HRD12295,DreamTroit,1331 Holden St,"Almost Midtown, LLC",Adaptive Reuse,3,2.5,1350,1.5,2.8,8,5,7,7,1520,260,low,7,standard,moderate,none,yes,no,9,Zone E,limited,1,in-unit,window,none,none,good,apartment,none,no,yes,true,low
-83.0633587055135,42.3450150342335,24,HRD12303,MLK on 2nd,3515 2nd Ave,MHT Housing,New Construction,1,1,750,1.3,1.3,7,5,5,6,1390,150,medium,9,new,minor,two flights,no,no,9,Zone B,moderate,2,on-site,window,medium,garage,good,detached house,small,no,no,true,medium
-83.0861532859323,42.388872358041,27,HRD12363,Cathedral Arts Apartments 4pct,10201 Woodward Ave,MHT Housing,New Construction,3,2,1370,1.9,4.5,8,7,7,6,1650,260,low,9,stainless,none,none,yes,yes,4,Zone A,limited,0,in-unit,central,none,hall closet,fair,apartment,none,yes,yes,false,low
-83.0269090060283,42.3509881328799,34,HRD10142,Mcdonald Square,2900 E Vernor Hwy,MHT Housing,Occupied Rehabilitation,1,1.5,550,1.9,1.7,5,2,5,6,1030,140,medium,7,mixed,minor,one flight,no,no,7,Zone B,moderate,0,in-unit,central,shared,basement,good,townhouse,small,no,yes,true,low
-83.0993905335578,42.3138544830385,39,HRD10659,Porter-Junction Apts,1403 Junction St,DHC Three,Occupied Rehabilitation,2,1,770,1.9,3.0,4,5,4,4,1260,200,low,9,new,none,one flight,no,no,8,Zone C,limited,1,on-site,window,none,none,good,apartment,none,no,yes,false,medium
-82.9429014016802,42.3729743638963,43,HRD12010,Marlborough/JEI Residential,910 Marlborough St,"Jefferson East, Inc (JEI)",Vacant Rehabilitation,3,1.5,950,1.8,6.0,9,7,10,8,1740,210,low,9,new,none,two flights,no,no,6,Zone C,moderate,2,on-site,central,medium,shed,fair,detached house,medium,no,yes,true,medium
-83.081843689696,42.3821682968854,44,HRD12268,Reverend Dr. Jim Holley Residences - 9pct,9001 Woodward Ave,"MHT Housing, Historic Little Rock Baptist Church",Vacant Rehabilitation,1,1,730,1.1,4.0,9,2,10,10,1090,130,medium,5,mixed,minor,one flight,no,no,6,Zone E,strong,0,on-site,central,small,closet,fair,townhouse,small,no,yes,true,low
-83.0880852048605,42.3712667625496,45,HRD12297,Merrill Place II,1312 Seward St,S&S Development Group,New Construction,3,2.5,1010,1.3,3.5,9,7,10,7,1440,200,high,5,older,minor,few,no,no,7,Zone A,moderate,0,on-site,central,shared,none,good,apartment,none,no,yes,false,high
-83.0688219146554,42.365398730464,47,HRD12343,60 Harper,60 Harper Ave,MHT Housing,New Construction,5,3.5,1950,1.8,2.6,8,4,9,8,2340,320,low,9,modern,none,none,yes,no,9,Zone A,moderate,1,in-unit,window,none,storage locker,fiber,apartment,none,no,yes,true,medium
-83.0850921334995,42.3799011935654,48,HRD11708,Lee Arden,660 Hazelwood St,Inkwell Partners,Vacant Rehabilitation,2,1.5,950,1.9,3.9,5,2,6,6,1490,170,medium,7,mixed,minor,few,no,yes,8,Zone B,moderate,2,in-unit,central,small,shed,fair,detached house,small,no,yes,false,medium
-83.0486020534155,42.3544685865645,53,HRD10084,Friendship Meadows I & III,1001 Leland St,Communities Of Hope Inc,Occupied Rehabilitation,3,2,1130,1.5,1.6,6,2,8,7,1580,220,low,9,stainless,none,none,yes,no,5,Zone B,moderate,0,on-site,central,none,storage locker,fiber,apartment,none,no,yes,true,high
-83.1698543274516,42.419513638407,64,HRD12442,Dr Violet T Lewis Village - 4pct,17370 Meyers Rd,"Wallick Communities, PVM",New Construction,2,2,820,1.4,8.8,7,7,5,4,1420,200,low,9,new,none,two flights,no,no,7,Zone E,moderate,2,on-site,central,small,closet,fiber,townhouse,shared,no,no,true,medium
-83.0491094942982,42.3552289705693,72,HRD10085,Friendship Meadows II,1003 Leland St,Communities Of Hope Inc,Occupied Rehabilitation,2,1,720,0.4,1.7,5,8,7,4,1220,180,medium,7,modern,none,two flights,no,no,8,Zone C,excellent,1,none,central,shared,garage,good,townhouse,small,no,yes,false,medium
-83.08913695765,42.3222519223016,75,HRD10106,Hubbard Farms Apartments,465 W Grand Blvd,MiSide (fka Southwest Solutions),Vacant Rehabilitation,2,1.5,890,0.4,2.3,8,2,8,7,1280,180,medium,7,mixed,minor,one flight,no,no,9,Zone A,strong,0,on-site,central,none,storage locker,fiber,apartment,none,no,no,true,low
-83.1182676321216,42.3760796113464,77,HRD10264,West Boston Apartments,3220 W Boston Blvd,Develop Detroit Inc,Occupied Rehabilitation,4,2.5,1440,1.2,4.8,9,8,9,8,2200,290,low,9,new,none,few,no,yes,4,Zone D,moderate,0,on-site,central,medium,garage,fair,detached house,small,no,yes,true,medium
-83.0926305,42.321861,85,HRD12440,La Joya Gardens - 9pct,4022 W Vernor Hwy,Cinnaire /SDBA/Invest Detroit,New Construction,2,2,920,1.1,2.5,8,3,10,9,1640,200,low,9,new,none,one flight,no,no,4,Zone C,strong,2,in-unit,window,large,shed,fiber,detached house,large,no,yes,true,medium
-83.1327086412004,42.3094785148847,87,HRD10226,Springwells Properties,2316 Lawndale St,MHT Housing,Occupied Rehabilitation,2,1,850,1.7,4.7,7,2,7,6,1530,170,low,9,stainless,minor,few,no,no,8,Zone B,moderate,2,on-site,central,small,basement,fiber,detached house,small,no,no,true,high
-83.076301849695,42.3437105909775,89,HRD12247,Osi Art Apartments,3820 Grand River Ave,URGE Development Group,New Construction,2,1,870,0.9,1.8,7,5,8,6,1230,170,low,9,stainless,none,one flight,no,no,6,Zone F,moderate,0,in-unit,central,shared,none,fiber,apartment,none,no,yes,false,high
-83.0678523943362,42.3735405104069,94,HRD12322,The Beauton,503 Horton St,CADS III Management,New Construction,3,1.5,1390,0.5,3.1,4,3,4,5,1710,260,medium,7,mixed,minor,none,yes,no,9,Zone C,excellent,0,on-site,window,shared,none,fair,apartment,shared,yes,yes,true,medium
-82.9842998226894,42.4290704997641,106,HRD12082,Mapleridge / Osborn Housing Initiative,13623 Mapleridge St,Osborn Neighborhood Alliance,Vacant Rehabilitation,2,1,970,1.5,7.4,6,6,4,4,1400,200,low,9,modern,none,one flight,no,no,5,Zone A,limited,0,in-unit,none,none,storage locker,fiber,apartment,none,no,yes,true,medium
-83.0752469345283,42.3754297842771,111,HRD12359,Marwood + Marston: New Construction,111 Marston,Develop Detroit Inc,New Construction,4,2.5,1830,1.6,3.4,8,6,8,7,2000,270,medium,7,standard,none,few,no,yes,5,Zone C,limited,0,on-site,none,none,none,fair,apartment,none,yes,yes,false,medium
-83.0584309870701,42.3397674298831,112,HRD12249,The Anchor at Mariner's Inn - 4pct,445 Ledyard St,Cinnaire,New Construction,4,3,1270,1.1,0.9,9,4,9,8,1900,240,medium,9,stainless,none,two flights,no,no,6,Zone A,strong,2,on-site,central,shared,basement,good,townhouse,shared,yes,yes,false,high
-83.0989591941491,42.3850068315647,122,HRD10685,The Shirley,1442 Calvert St,City Of Detroit,Vacant Rehabilitation,4,2.5,1580,1.8,4.6,8,8,8,7,2060,260,medium,9,modern,none,few,no,yes,6,Zone A,moderate,1,on-site,window,none,hall closet,good,apartment,none,no,yes,false,high
-83.0776977701521,42.3430556461719,130,HRD10209,Roberts III Apartments,3901 Grand River Ave,Sam Thomas / MHT,Occupied Rehabilitation,3,2.5,960,1.4,1.8,6,6,6,4,1560,210,medium,9,modern,none,two flights,no,no,5,Zone A,limited,2,on-site,window,small,closet,good,townhouse,none,no,yes,true,high
-82.9352690966995,42.4037500760788,131,HRD12356,The Ribbon (Charter One Bank),16530 E Warren Ave,"Flux City, LLC",New Construction,5,3.5,2190,1.5,7.5,8,7,6,5,2360,370,medium,7,mixed,none,none,no,yes,4,Zone E,limited,1,in-unit,window,none,storage locker,fair,apartment,none,no,no,false,high
